                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.4106,                 1.1068,                 1.1787,                0.79229,                0.75003,                0.80594,                0.47653,                 1.3193,                 0.9748,                 1.2381,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.4014,                 1.1002,                 1.1688,                0.75571,                0.75718,                0.80136,                0.46937,                 1.3216,                 1.0203,                 1.2358,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.4092,                 1.0882,                  1.171,                0.78484,                0.73419,                0.81017,                0.47749,                 1.3115,                 0.9766,                 1.2328,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.4058,                 1.0944,                 1.1682,                0.75313,                 0.7629,                 0.8113,                0.47799,                  1.318,                0.97318,                 1.2345,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.4086,                 1.0898,                 1.1676,                0.76237,                0.77428,                 0.8146,                0.47952,                 1.3183,                 1.0003,                 1.2343,               0.000307,               0.000307,               0.000307
                     72,                  1.405,                 1.0919,                 1.1801,                0.77076,                 0.7443,                0.80832,                0.47525,                 1.3134,                 1.0017,                 1.2356,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.4118,                 1.0791,                 1.1746,                0.76455,                0.74833,                0.80435,                0.46717,                 1.3287,                0.99506,                 1.2392,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.4084,                 1.0797,                 1.1625,                0.78909,                0.73842,                0.81899,                 0.4812,                 1.3068,                 0.9751,                 1.2298,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.3957,                 1.0737,                 1.1662,                0.83764,                0.71902,                0.81808,                0.48543,                 1.3034,                 0.9534,                  1.228,              0.0002674,              0.0002674,              0.0002674
                     76,                    1.4,                 1.0737,                  1.168,                0.80972,                0.73553,                0.81562,                0.48133,                 1.3068,                0.97736,                 1.2282,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.3979,                 1.0777,                  1.173,                0.78874,                0.75756,                0.81834,                0.48348,                  1.311,                0.96767,                 1.2314,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.4055,                 1.0727,                 1.1658,                0.74786,                0.77738,                0.81393,                0.48328,                 1.3091,                0.95926,                 1.2291,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.3895,                 1.0711,                 1.1667,                0.75791,                0.76815,                0.81501,                0.48543,                 1.3117,                0.96864,                 1.2302,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.3902,                 1.0679,                 1.1641,                0.77362,                0.76373,                0.81989,                0.48511,                 1.3052,                0.96067,                 1.2255,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.4028,                 1.0685,                 1.1646,                0.76721,                0.76252,                0.81943,                0.48204,                 1.3051,                0.96805,                  1.227,               0.000208,               0.000208,               0.000208
                     82,                 1.3939,                 1.0641,                 1.1666,                  0.795,                0.73661,                0.81927,                0.48603,                 1.3072,                0.95458,                 1.2267,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.4001,                 1.0625,                 1.1684,                0.80585,                 0.7374,                 0.8225,                0.48948,                 1.3056,                0.96037,                 1.2273,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.4034,                 1.0654,                 1.1645,                0.77516,                0.76593,                0.82486,                0.48996,                 1.3017,                0.94349,                 1.2258,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.3933,                 1.0495,                 1.1589,                 0.7665,                0.77635,                0.82321,                0.48507,                  1.303,                0.94558,                 1.2261,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.3932,                 1.0634,                 1.1727,                0.79676,                0.74819,                0.82001,                0.48607,                 1.3008,                0.95018,                 1.2235,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.3936,                 1.0698,                 1.1659,                0.78211,                0.75419,                0.82189,                0.48605,                 1.3081,                0.95822,                 1.2275,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.3903,                 1.0644,                 1.1622,                0.81696,                0.74067,                0.81959,                0.48703,                 1.3064,                0.94961,                 1.2257,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.3864,                 1.0489,                 1.1649,                0.80105,                0.75316,                0.82293,                0.48487,                 1.3047,                0.94981,                 1.2231,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.3754,                 1.0379,                 1.1559,                0.79879,                0.74405,                0.82044,                 0.4854,                 1.3031,                0.94611,                 1.2249,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.3579,                 1.0877,                 1.2017,                0.77952,                0.77797,                0.82357,                0.48702,                 1.3101,                0.95372,                 1.2272,               0.000109,               0.000109,               0.000109
                     92,                 1.3407,                 1.0764,                  1.195,                0.80631,                0.75844,                0.82584,                0.48911,                 1.3081,                 0.9352,                 1.2264,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.3494,                 1.0863,                 1.2047,                0.78844,                0.76194,                0.82648,                0.48691,                 1.3044,                0.94736,                 1.2254,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.3471,                 1.0634,                  1.196,                 0.7847,                0.76762,                0.82813,                0.48836,                 1.3054,                0.94074,                 1.2242,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.3472,                 1.0747,                 1.1966,                0.77468,                0.78081,                0.82437,                0.48861,                 1.3003,                0.94315,                 1.2236,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.3443,                 1.0715,                 1.2033,                0.77214,                0.77517,                0.82189,                 0.4854,                 1.3038,                0.95096,                 1.2249,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.3395,                 1.0591,                 1.1933,                0.76423,                0.78596,                0.82269,                0.48463,                 1.3046,                0.94615,                 1.2253,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.3403,                 1.0691,                 1.1982,                0.79426,                0.75636,                0.82189,                0.48453,                 1.3026,                0.94987,                 1.2252,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.3464,                 1.0701,                 1.1959,                0.79469,                0.75946,                0.82376,                0.48551,                 1.3021,                0.94771,                 1.2244,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 1.3401,                 1.0677,                 1.2054,                0.78416,                0.76533,                0.82406,                0.48711,                 1.3019,                0.94151,                 1.2245,               1.99e-05,               1.99e-05,               1.99e-05
