                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.3137,                0.92833,                 1.1499,                0.82965,                0.81398,                0.86698,                0.52221,                  1.255,                0.84874,                 1.2329,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.3213,                0.91849,                 1.1487,                 0.8244,                0.81639,                  0.865,                0.51933,                 1.2497,                0.84641,                 1.2253,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.3192,                0.91899,                 1.1368,                0.81959,                0.81735,                0.86103,                0.52607,                 1.2466,                0.84245,                 1.2258,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.3056,                0.90881,                 1.1382,                0.83301,                0.82819,                0.87531,                0.52128,                 1.2505,                0.83687,                  1.225,              0.0002674,              0.0002674,              0.0002674
                     76,                  1.308,                0.91095,                  1.142,                 0.8312,                0.81898,                0.85858,                0.51756,                 1.2484,                0.83518,                 1.2254,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.3095,                0.91692,                 1.1456,                0.81721,                0.81246,                0.85751,                0.52216,                 1.2465,                0.83805,                 1.2243,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.3117,                0.91286,                 1.1376,                0.82021,                0.82965,                 0.8728,                0.52594,                 1.2446,                0.82724,                 1.2225,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.2982,                0.90818,                 1.1386,                0.81108,                0.83479,                0.86345,                0.52265,                 1.2432,                0.83542,                  1.221,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.3001,                0.90199,                 1.1362,                0.83989,                0.81022,                0.87259,                0.52427,                 1.2489,                0.82712,                 1.2248,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.3117,                0.90986,                 1.1398,                0.83183,                 0.8204,                0.87172,                0.52657,                 1.2457,                0.83466,                 1.2242,               0.000208,               0.000208,               0.000208
                     82,                 1.2992,                0.90342,                 1.1384,                0.81452,                0.83923,                0.86304,                0.52118,                  1.248,                0.83929,                 1.2226,              0.0001981,              0.0001981,              0.0001981
                     83,                  1.307,                0.89885,                 1.1397,                0.83314,                0.83768,                0.87121,                0.52234,                 1.2454,                0.83037,                 1.2208,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.3056,                0.90275,                 1.1346,                0.80771,                0.83685,                0.87381,                0.52284,                 1.2475,                0.83374,                 1.2232,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.3014,                0.89114,                 1.1299,                 0.8385,                0.82895,                0.87345,                0.52303,                 1.2436,                0.83582,                 1.2238,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.2987,                0.90255,                 1.1451,                0.80902,                0.84963,                0.87439,                0.52428,                 1.2446,                0.83153,                 1.2245,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.3001,                0.90243,                 1.1382,                0.80896,                0.85714,                0.87613,                0.52567,                 1.2453,                0.83123,                 1.2228,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.2956,                 0.8987,                  1.134,                0.82062,                0.84493,                 0.8769,                0.52467,                 1.2424,                0.82403,                 1.2204,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.2936,                0.88762,                 1.1382,                0.80297,                0.85296,                0.87499,                0.52195,                 1.2477,                0.83716,                 1.2239,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.2854,                0.87807,                 1.1269,                0.81659,                0.85333,                 0.8758,                0.52653,                 1.2501,                0.82534,                 1.2254,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.2651,                0.91175,                 1.1787,                0.82269,                0.84166,                0.87426,                0.52233,                 1.2472,                0.83007,                  1.223,               0.000109,               0.000109,               0.000109
                     92,                 1.2493,                0.89214,                 1.1711,                0.83185,                0.82998,                0.87514,                  0.525,                 1.2489,                0.82149,                 1.2238,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.2577,                0.89838,                 1.1827,                0.82806,                0.83046,                0.87729,                0.52629,                 1.2479,                0.82126,                 1.2211,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.2578,                0.89071,                 1.1728,                0.84027,                 0.8275,                 0.8735,                0.52776,                 1.2451,                0.82276,                 1.2215,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.2553,                0.89813,                  1.174,                0.82029,                0.84198,                 0.8731,                0.52558,                 1.2465,                0.82348,                 1.2235,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.2539,                0.88974,                 1.1778,                0.82973,                0.84258,                0.87447,                0.52524,                 1.2482,                 0.8173,                 1.2247,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.2449,                0.87898,                 1.1659,                0.84034,                 0.8389,                0.87495,                 0.5246,                 1.2479,                 0.8164,                 1.2252,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.2479,                0.88736,                 1.1752,                0.83699,                0.83622,                0.87612,                 0.5255,                 1.2477,                 0.8198,                 1.2245,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.2528,                0.88801,                  1.171,                0.83309,                0.83395,                0.87589,                0.52817,                 1.2458,                0.82336,                 1.2235,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                  1.248,                0.88669,                 1.1812,                0.84099,                0.83305,                0.87783,                0.52688,                 1.2479,                0.82032,                 1.2252,               1.99e-05,               1.99e-05,               1.99e-05
