                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.49173,                0.66441,                0.09274,                0.67539,                0.64504,                0.68046,                0.39339,                0.40604,                0.75531,                0.09701,              0.0001981,              0.0001981,              0.0001981
                     83,                0.49518,                0.66269,                0.09359,                0.66694,                0.66103,                0.68464,                0.39792,                 0.4047,                0.75131,                0.09576,              0.0001882,              0.0001882,              0.0001882
                     84,                0.50022,                0.65941,                0.09389,                0.64624,                0.66651,                0.68919,                0.39733,                0.40643,                0.75026,                0.09821,              0.0001783,              0.0001783,              0.0001783
                     85,                0.48738,                0.65755,                0.09088,                0.64198,                0.65953,                0.67515,                0.39598,                0.40442,                0.75338,                0.09713,              0.0001684,              0.0001684,              0.0001684
                     86,                0.49101,                 0.6632,                0.09484,                0.63501,                0.68195,                0.68183,                0.39478,                0.40545,                0.75601,                0.09796,              0.0001585,              0.0001585,              0.0001585
                     87,                0.49474,                0.66332,                0.09243,                0.66654,                0.65959,                0.68374,                0.39476,                0.40255,                0.75769,                0.09565,              0.0001486,              0.0001486,              0.0001486
                     88,                 0.4923,                0.65612,                0.09335,                 0.6277,                0.67623,                0.67905,                0.39307,                 0.4007,                0.75088,                0.09508,              0.0001387,              0.0001387,              0.0001387
                     89,                0.48949,                0.65585,                0.09387,                0.66442,                0.65404,                0.68635,                0.39868,                0.40316,                0.75417,                0.09548,              0.0001288,              0.0001288,              0.0001288
                     90,                0.48314,                0.65382,                0.09039,                0.64211,                0.66654,                0.67732,                0.39266,                  0.402,                0.75688,                0.09609,              0.0001189,              0.0001189,              0.0001189
                     91,                0.44818,                0.69286,                0.09646,                0.62985,                 0.6973,                  0.691,                0.39808,                0.40503,                0.73877,                0.09738,               0.000109,               0.000109,               0.000109
                     92,                0.43685,                0.68703,                0.09294,                0.63799,                0.67296,                0.68521,                0.39903,                0.40518,                0.73251,                0.09703,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                  0.443,                 0.6896,                0.09638,                0.62562,                0.70869,                0.69398,                0.39948,                0.40751,                0.73414,                0.09792,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.44336,                0.68175,                0.09511,                0.65642,                0.67461,                 0.6936,                0.40032,                0.40395,                0.73219,                0.09575,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.44425,                0.68161,                0.09576,                0.65412,                0.68918,                0.70352,                0.40636,                0.40333,                0.73694,                 0.0961,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.44356,                0.68221,                0.09698,                  0.647,                0.69032,                0.69999,                0.41082,                0.40662,                0.72918,                0.09663,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.43749,                0.68157,                0.09283,                0.65982,                0.66865,                0.69544,                0.40642,                0.40291,                0.73065,                0.09565,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.44041,                0.67886,                0.09557,                0.63965,                0.70131,                0.69857,                0.40291,                0.40342,                 0.7314,                0.09615,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.43877,                0.68073,                0.09298,                0.62433,                0.72259,                0.70323,                0.40619,                0.40553,                0.72974,                0.09677,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.44228,                0.67661,                0.09724,                0.63464,                0.70693,                0.70009,                0.40725,                0.40572,                0.72565,                0.09727,               1.99e-05,               1.99e-05,               1.99e-05
